label,total_character,letters,numbers,special_characters,letters_number,dots,lowercase_letters,uppercase_letters,subdomains_count,subdomain1,subdomain1_letters,subdomain1_numbers,subdomain1_special,subdomain2,subdomain2_letters,subdomain2_numbers,subdomain2_special,subdomain3,subdomain3_letters,subdomain3_numbers,subdomain3_special,subdomain4,subdomain4_letters,subdomain4_numbers,subdomain4_special
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,69,28,30,2,58,9,28,0,10,3,1,1,1,11,1,9,1,1,0,1,0,4,1,3,0
1,136,106,24,3,130,3,69,37,4,50,42,8,0,27,20,6,1,25,19,5,1,31,25,5,1
1,49,39,8,1,47,1,26,13,2,32,25,6,1,16,14,2,0,0,0,0,0,0,0,0,0
0,7,2,4,0,6,1,2,0,2,5,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0
0,6,4,2,0,6,0,4,0,1,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,69,31,27,2,58,9,31,0,10,3,1,1,1,11,1,9,1,1,0,1,0,4,1,3,0
1,45,34,9,1,43,1,23,11,2,36,27,8,1,8,7,1,0,0,0,0,0,0,0,0,0
0,72,32,28,2,60,10,32,0,11,1,1,0,0,3,1,1,1,11,1,9,1,2,0,2,0
0,3,3,0,0,3,0,3,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,32,10,0,42,1,26,6,2,35,27,8,0,7,5,2,0,0,0,0,0,0,0,0,0
1,8,6,2,0,8,0,6,0,1,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,40,9,0,49,1,28,12,2,36,30,6,0,13,10,3,0,0,0,0,0,0,0,0,0
0,13,11,0,1,11,1,11,0,2,10,9,0,1,2,2,0,0,0,0,0,0,0,0,0,0
0,15,12,2,1,14,0,12,0,1,15,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,68,32,29,2,61,5,32,0,5,53,22,29,2,1,1,0,0,2,2,0,0,4,4,0,0
0,14,9,5,0,14,0,9,0,1,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,16,3,1,19,2,16,0,3,3,1,2,0,11,9,1,1,6,6,0,0,0,0,0,0
0,82,27,41,2,68,12,27,0,13,1,1,0,0,1,1,0,0,1,1,0,0,4,0,3,1
0,7,3,3,0,6,1,3,0,2,4,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0
1,59,48,10,0,58,1,35,13,2,39,32,7,0,19,16,3,0,0,0,0,0,0,0,0,0
1,49,40,8,0,48,1,30,10,2,35,28,7,0,13,12,1,0,0,0,0,0,0,0,0,0
1,45,33,11,0,44,1,23,10,2,37,28,9,0,7,5,2,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,11,0,0,11,2,11,0,3,4,4,0,0,4,4,0,0,3,3,0,0,0,0,0,0
0,6,6,0,0,6,0,6,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,18,10,0,28,4,18,0,5,2,2,0,0,8,3,5,0,7,2,5,0,3,3,0,0
1,76,66,7,1,73,2,46,20,3,48,43,5,0,24,21,2,1,2,2,0,0,0,0,0,0
0,14,8,3,3,11,0,8,0,1,14,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0,12,10,1,0,11,1,10,0,2,7,6,1,0,4,4,0,0,0,0,0,0,0,0,0,0
0,7,2,4,0,6,1,2,0,2,4,1,3,0,2,1,1,0,0,0,0,0,0,0,0,0
1,132,114,14,1,128,3,68,46,4,46,41,5,0,30,26,4,0,29,26,2,1,24,21,3,0
1,8,6,2,0,8,0,6,0,1,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,7,0,0,7,2,7,0,2,3,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,9,0,0,9,1,9,0,2,3,3,0,0,6,6,0,0,0,0,0,0,0,0,0,0
0,24,14,5,4,19,1,14,0,2,17,8,5,4,6,6,0,0,0,0,0,0,0,0,0,0
0,60,34,19,6,53,1,34,0,2,53,28,19,6,6,6,0,0,0,0,0,0,0,0,0,0
0,75,28,36,2,64,9,28,0,10,3,1,1,1,11,2,8,1,7,1,6,0,4,1,3,0
1,57,46,10,0,56,1,30,16,2,40,32,8,0,16,14,2,0,0,0,0,0,0,0,0,0
1,45,34,9,1,43,1,23,11,2,37,28,8,1,7,6,1,0,0,0,0,0,0,0,0,0
1,52,37,13,1,50,1,25,12,2,33,25,7,1,18,12,6,0,0,0,0,0,0,0,0,0
0,8,2,6,0,8,0,2,0,1,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0,75,32,32,2,64,9,32,0,10,3,1,1,1,11,1,9,1,7,0,7,0,4,0,4,0
0,75,32,32,2,64,9,32,0,10,3,1,1,1,11,1,9,1,7,0,7,0,4,1,3,0
1,101,86,12,1,98,2,63,23,3,47,42,5,0,27,23,4,0,25,21,3,1,0,0,0,0
0,53,35,12,5,47,1,35,0,2,46,29,12,5,6,6,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,72,29,32,2,61,9,29,0,10,3,0,2,1,11,1,9,1,4,1,3,0,4,1,3,0
1,55,44,10,0,54,1,31,13,2,37,30,7,0,17,14,3,0,0,0,0,0,0,0,0,0
0,20,17,0,0,17,3,17,0,3,5,5,0,0,9,9,0,0,3,3,0,0,0,0,0,0
1,52,40,11,0,51,1,29,11,2,37,31,6,0,14,9,5,0,0,0,0,0,0,0,0,0
1,55,45,9,0,54,1,32,13,2,36,29,7,0,18,16,2,0,0,0,0,0,0,0,0,0
0,18,13,1,4,14,0,13,0,1,18,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,61,30,28,1,58,2,30,0,3,53,27,25,1,3,1,2,0,3,2,1,0,0,0,0,0
1,46,35,10,0,45,1,25,10,2,39,30,9,0,6,5,1,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,7,2,1,9,0,7,0,1,10,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,12,6,1,18,2,12,0,3,2,1,1,0,11,5,5,1,6,6,0,0,0,0,0,0
0,23,21,0,0,21,2,21,0,2,8,8,0,0,13,13,0,0,0,0,0,0,0,0,0,0
1,106,89,14,1,103,2,61,28,3,52,45,7,0,28,25,2,1,24,19,5,0,0,0,0,0
1,44,35,8,0,43,1,23,12,2,38,32,6,0,5,3,2,0,0,0,0,0,0,0,0,0
0,75,33,31,2,64,9,33,0,10,3,1,1,1,11,1,9,1,7,0,7,0,4,1,3,0
0,14,11,3,0,14,0,11,0,1,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,136,110,23,0,133,3,72,38,4,49,40,9,0,30,27,3,0,33,24,9,0,21,19,2,0
1,46,36,7,2,43,1,22,14,2,37,31,5,1,8,5,2,1,0,0,0,0,0,0,0,0
0,74,27,36,2,63,9,27,0,10,3,1,1,1,11,1,9,1,6,2,4,0,4,1,3,0
0,21,15,3,1,18,2,15,0,3,2,1,1,0,11,8,2,1,6,6,0,0,0,0,0,0
0,23,16,2,4,18,1,16,0,2,16,10,2,4,6,6,0,0,0,0,0,0,0,0,0,0
0,9,8,0,0,8,1,8,0,2,2,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,14,5,4,19,1,14,0,2,17,8,5,4,6,6,0,0,0,0,0,0,0,0,0,0
0,11,10,0,0,10,1,10,0,2,8,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0
0,17,15,0,0,15,2,15,0,2,12,12,0,0,3,3,0,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,14,4,4,18,1,14,0,2,16,8,4,4,6,6,0,0,0,0,0,0,0,0,0,0
0,73,35,27,2,62,9,35,0,10,3,1,1,1,11,1,9,1,5,0,5,0,4,1,3,0
0,46,17,27,0,44,2,17,0,3,33,7,26,0,7,7,0,0,4,3,1,0,0,0,0,0
1,43,34,7,1,41,1,22,12,2,36,29,6,1,6,5,1,0,0,0,0,0,0,0,0,0
1,50,41,8,0,49,1,25,16,2,36,29,7,0,13,12,1,0,0,0,0,0,0,0,0,0
1,56,44,11,0,55,1,31,13,2,40,32,8,0,15,12,3,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,14,2,2,16,2,14,0,3,3,3,0,0,2,0,2,0,13,11,0,2,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51,38,11,1,49,1,27,11,2,34,25,9,0,16,13,2,1,0,0,0,0,0,0,0,0
0,10,7,2,0,9,1,7,0,2,3,3,0,0,6,4,2,0,0,0,0,0,0,0,0,0
1,122,100,19,0,119,3,58,42,4,49,43,6,0,35,28,7,0,29,24,5,0,6,5,1,0
0,21,14,4,1,18,2,14,0,3,2,1,1,0,11,7,3,1,6,6,0,0,0,0,0,0
0,75,28,36,2,64,9,28,0,10,3,1,1,1,11,1,9,1,7,1,6,0,4,1,3,0
0,38,17,13,6,30,2,17,0,3,24,8,12,4,9,6,1,2,3,3,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,12,0,0,12,4,12,0,4,2,2,0,0,1,1,0,0,5,5,0,0,4,4,0,0
0,22,13,6,1,19,2,13,0,3,3,1,2,0,11,6,4,1,6,6,0,0,0,0,0,0
1,49,41,7,0,48,1,28,13,2,34,28,6,0,14,13,1,0,0,0,0,0,0,0,0,0
1,52,39,11,1,50,1,30,9,2,37,29,7,1,14,10,4,0,0,0,0,0,0,0,0,0
1,135,112,19,1,131,3,79,33,4,52,46,6,0,27,25,2,0,29,22,6,1,24,19,5,0
0,36,15,13,6,28,2,15,0,3,18,2,12,4,9,6,1,2,7,7,0,0,0,0,0,0
0,8,7,0,0,7,1,7,0,2,3,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0
0,70,27,32,2,59,9,27,0,10,3,1,1,1,11,0,10,1,2,0,2,0,4,1,3,0
1,49,34,12,2,46,1,23,11,2,38,26,10,2,10,8,2,0,0,0,0,0,0,0,0,0
1,42,33,8,0,41,1,26,7,2,37,29,8,0,4,4,0,0,0,0,0,0,0,0,0,0
0,69,29,29,2,58,9,29,0,10,3,1,1,1,11,1,9,1,1,0,1,0,4,1,3,0
0,73,32,30,2,62,9,32,0,10,3,1,1,1,11,1,9,1,5,0,5,0,4,1,3,0
0,17,14,1,0,15,2,14,0,3,9,8,1,0,4,4,0,0,2,2,0,0,0,0,0,0
0,23,14,4,4,18,1,14,0,2,16,8,4,4,6,6,0,0,0,0,0,0,0,0,0,0
0,9,8,0,0,8,1,8,0,2,2,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0
1,46,34,10,1,44,1,24,10,2,38,30,8,0,7,4,2,1,0,0,0,0,0,0,0,0
0,60,35,18,6,53,1,35,0,2,53,29,18,6,6,6,0,0,0,0,0,0,0,0,0,0
0,23,15,2,5,17,1,15,0,2,21,14,2,5,1,1,0,0,0,0,0,0,0,0,0,0
0,75,29,35,2,64,9,29,0,10,3,1,1,1,11,1,9,1,7,1,6,0,4,1,3,0
1,50,36,13,0,49,1,22,14,2,35,24,11,0,14,12,2,0,0,0,0,0,0,0,0,0
1,97,83,12,0,95,2,59,24,3,49,42,7,0,29,27,2,0,17,14,3,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,7,7,0,14,0,7,0,1,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,16,2,4,18,1,16,0,2,16,10,2,4,6,6,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,8,0,0,8,3,8,0,3,3,3,0,0,2,2,0,0,3,3,0,0,0,0,0,0
1,50,36,13,0,49,1,25,11,2,35,25,10,0,14,11,3,0,0,0,0,0,0,0,0,0
1,44,35,7,1,42,1,23,12,2,36,30,5,1,7,5,2,0,0,0,0,0,0,0,0,0
0,5,1,4,0,5,0,1,0,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,129,105,18,3,123,3,71,34,4,51,42,8,1,28,27,1,0,30,23,6,1,17,13,3,1
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,7,0,0,7,1,7,0,2,4,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0
1,44,34,7,2,41,1,23,11,2,34,27,6,1,9,7,1,1,0,0,0,0,0,0,0,0
0,19,16,0,2,16,1,16,0,2,3,3,0,0,15,13,0,2,0,0,0,0,0,0,0,0
0,69,30,28,2,58,9,30,0,10,3,1,1,1,11,1,9,1,1,0,1,0,4,1,3,0
1,115,99,13,0,112,3,72,27,4,48,41,7,0,31,27,4,0,20,19,1,0,13,12,1,0
1,49,39,9,0,48,1,26,13,2,37,29,8,0,11,10,1,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,46,35,9,1,44,1,22,13,2,38,30,7,1,7,5,2,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,11,1,0,12,2,11,0,2,9,8,1,0,3,3,0,0,0,0,0,0,0,0,0,0
0,47,23,22,0,45,2,23,0,3,33,13,20,0,7,7,0,0,5,3,2,0,0,0,0,0
0,6,6,0,0,6,0,6,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,45,35,9,0,44,1,28,7,2,39,31,8,0,5,4,1,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,2,6,0,8,0,2,0,1,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,2,6,0,8,0,2,0,1,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0,73,35,27,2,62,9,35,0,10,3,1,1,1,11,1,9,1,5,0,5,0,4,1,3,0
0,69,32,26,2,58,9,32,0,10,3,1,1,1,11,1,9,1,1,0,1,0,4,1,3,0
0,8,2,6,0,8,0,2,0,1,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51,38,11,1,49,1,27,11,2,38,30,7,1,12,8,4,0,0,0,0,0,0,0,0,0
1,115,94,18,0,112,3,61,33,4,48,42,6,0,34,29,5,0,23,18,5,0,7,5,2,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,7,1,1,8,0,7,0,1,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,60,38,15,6,53,1,38,0,2,53,32,15,6,6,6,0,0,0,0,0,0,0,0,0,0
0,7,7,0,0,7,0,7,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,15,4,4,19,1,15,0,2,17,9,4,4,6,6,0,0,0,0,0,0,0,0,0,0
1,51,35,12,3,47,1,23,12,2,37,26,9,2,13,9,3,1,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40,30,8,1,38,1,24,6,2,34,27,6,1,5,3,2,0,0,0,0,0,0,0,0,0
0,46,28,16,0,44,2,28,0,3,33,18,15,0,7,7,0,0,4,3,1,0,0,0,0,0
1,8,6,2,0,8,0,6,0,1,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,34,12,1,46,1,24,10,2,40,29,10,1,7,5,2,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,10,0,0,10,0,10,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,45,33,11,0,44,1,24,9,2,36,27,9,0,8,6,2,0,0,0,0,0,0,0,0,0
0,69,32,26,2,58,9,32,0,10,3,1,1,1,11,1,9,1,1,0,1,0,4,1,3,0
1,45,34,10,0,44,1,23,11,2,38,30,8,0,6,4,2,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,37,9,0,46,1,25,12,2,37,29,8,0,9,8,1,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,0,0,3,0,3,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52,40,10,1,50,1,27,13,2,36,29,6,1,15,11,4,0,0,0,0,0,0,0,0,0
0,60,38,15,6,53,1,38,0,2,53,32,15,6,6,6,0,0,0,0,0,0,0,0,0,0
1,50,38,11,0,49,1,27,11,2,37,28,9,0,12,10,2,0,0,0,0,0,0,0,0,0
0,4,4,0,0,4,0,4,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,73,27,35,2,62,9,27,0,10,3,1,1,1,11,1,9,1,5,0,5,0,4,0,4,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,71,36,24,2,60,9,36,0,10,3,1,1,1,11,1,9,1,3,0,3,0,4,1,3,0
1,23,17,6,0,23,0,6,11,1,23,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0,69,29,29,2,58,9,29,0,10,3,1,1,1,11,1,9,1,1,0,1,0,4,1,3,0
0,69,31,27,2,58,9,31,0,10,3,1,1,1,11,1,9,1,1,0,1,0,4,1,3,0
