family,label_multiclass
ranbyus_v1,35
Alexa_Majestic,0
ccleaner,4
ccleaner,4
Alexa_Majestic,0
kraken_v1,16
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
fobber_v1,10
kraken_v1,16
Alexa_Majestic,0
suppobox_3,43
symmi,44
proslikefan,27
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
pykspa_noise,30
Alexa_Majestic,0
vawtrak_v3,49
locky,18
vawtrak_v1,47
Alexa_Majestic,0
nymaim,24
locky,18
pykspa_noise,30
zeus-newgoz,50
rovnix,37
zeus-newgoz,50
alureon,1
Alexa_Majestic,0
simda,39
qadars,31
Alexa_Majestic,0
Alexa_Majestic,0
locky,18
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
chinad,5
symmi,44
Alexa_Majestic,0
qakbot,32
proslikefan,27
suppobox_1,41
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
alureon,1
Alexa_Majestic,0
qadars,31
vawtrak_v2,48
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
padcrypt,25
ramdo,33
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
zeus-newgoz,50
rovnix,37
gozi_gpl,12
Alexa_Majestic,0
suppobox_3,43
tempedreve,45
Alexa_Majestic,0
gozi_nasa,14
cryptolocker,7
Alexa_Majestic,0
gozi_gpl,12
ranbyus_v1,35
Alexa_Majestic,0
bedep,3
corebot,6
Alexa_Majestic,0
chinad,5
nymaim,24
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
necurs,23
vawtrak_v2,48
Alexa_Majestic,0
Alexa_Majestic,0
shiotob,38
fobber_v1,10
Alexa_Majestic,0
Alexa_Majestic,0
corebot,6
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
Alexa_Majestic,0
kraken_v2,17
Alexa_Majestic,0
kraken_v1,16
corebot,6
