label,qname,family
1,ab1fe3cfc138a.com,ccleaner
1,ab179eac64138d.com,ccleaner
1,abd941a851390.com,ccleaner
1,ab92c5d311394.com,ccleaner
1,abb0a3d081397.com,ccleaner
1,ab2f5928fc139a.com,ccleaner
1,ab48606b0139d.com,ccleaner
1,ab1eba52e713a1.com,ccleaner
1,ab1b4dc2ec13a4.com,ccleaner
1,ab9e6df813a7.com,ccleaner
1,ab129d483813ab.com,ccleaner
1,ab137fb6ae131a.com,ccleaner
1,ab120d8c4a131d.com,ccleaner
1,ab5bceb31320.com,ccleaner
1,abad24d971323.com,ccleaner
1,ab23099901327.com,ccleaner
1,ab25cfebb8132a.com,ccleaner
1,ab2e3afa0132d.com,ccleaner
1,ab1c683d3e1331.com,ccleaner
1,abe7baa6e1334.com,ccleaner
1,abf066ce41337.com,ccleaner
1,abd02d3fe133a.com,ccleaner
1,ab12c9c22012a9.com,ccleaner
1,ab6d7fdf012ad.com,ccleaner
1,ab6dd01c012b0.com,ccleaner
1,ab6d3e6d812b3.com,ccleaner
1,ab27ddbdb012b7.com,ccleaner
1,ab2d5ade012ba.com,ccleaner
1,ab19c4ea5012bd.com,ccleaner
1,ab1471b95512c0.com,ccleaner
1,ab7b18cb912c4.com,ccleaner
1,abe46d1dd12c7.com,ccleaner
1,ab1c38d4212ca.com,ccleaner
1,abc6f0b4c1239.com,ccleaner
1,ab34fe8354123d.com,ccleaner
1,ab7b9951a1240.com,ccleaner
1,ab262e91d91243.com,ccleaner
1,ab1d8b4ee51246.com,ccleaner
1,ab6a007c124a.com,ccleaner
1,ab16a966d0124d.com,ccleaner
1,ab6d64d3f1250.com,ccleaner
1,abbcd80c41253.com,ccleaner
1,ab7e32c1c1257.com,ccleaner
1,ab2cd128e8125a.com,ccleaner
1,ab70269e11c9.com,ccleaner
1,ab4e184da11cc.com,ccleaner
1,ab2f1d4d611d0.com,ccleaner
1,ab20b6e8ff11d3.com,ccleaner
1,ab179624311d6.com,ccleaner
1,ab1523e4d811d9.com,ccleaner
1,abde9b16011dd.com,ccleaner
1,ab595efa811e0.com,ccleaner
1,aba44cf0611e3.com,ccleaner
1,ab2c9d369611e6.com,ccleaner
1,ab2a5d64e11ea.com,ccleaner
1,ab2c6efc231159.com,ccleaner
1,ab4f51820115c.com,ccleaner
1,ab2024ce50115f.com,ccleaner
1,ab159b23e01163.com,ccleaner
1,abfe003581166.com,ccleaner
1,ab113ed4901169.com,ccleaner
1,ab3b1d1680116c.com,ccleaner
1,ab8e8b22c1170.com,ccleaner
1,ab317d2f11173.com,ccleaner
1,ab24c0a0b51176.com,ccleaner
1,ab2afe0391179.com,ccleaner
1,ab33a4c2210e9.com,ccleaner
1,ab1bd5044410ec.com,ccleaner
1,ab19e3f6ac10ef.com,ccleaner
1,ab71708110f2.com,ccleaner
1,ab10d6b62d10f6.com,ccleaner
1,ab7b5ed9910f9.com,ccleaner
1,ab3cef0f010fc.com,ccleaner
1,ab696d1a410ff.com,ccleaner
1,ab25aa89d31103.com,ccleaner
1,ab17d9c941106.com,ccleaner
1,ab1676424c1109.com,ccleaner
1,ab284ade11078.com,ccleaner
1,ab1a6fa76a107c.com,ccleaner
1,abdff0006107f.com,ccleaner
1,abcb04a621082.com,ccleaner
1,abc28b04b1085.com,ccleaner
1,ab32c218621089.com,ccleaner
1,ab6585d20108c.com,ccleaner
1,ab22d6a408108f.com,ccleaner
1,ab1d045cb01093.com,ccleaner
1,abbe8dce1096.com,ccleaner
1,ab15076fbe1099.com,ccleaner
1,ab173ceb3b1008.com,ccleaner
1,ab13654887100b.com,ccleaner
1,ab4cc9b20100f.com,ccleaner
1,abcddcbb01012.com,ccleaner
1,ab1d673001015.com,ccleaner
1,ab25bccd81019.com,ccleaner
1,ab33d1870101c.com,ccleaner
1,ab1f0c082c101f.com,ccleaner
1,aba9a7081022.com,ccleaner
1,ab125d998d1026.com,ccleaner
1,abdf461b11029.com,ccleaner
1,ab150e5cdaf98.com,ccleaner
1,ab6b7205af9b.com,ccleaner
1,ab9d52a3cf9f.com,ccleaner
1,ab7669704fa2.com,ccleaner
1,ab2abb4775fa5.com,ccleaner
1,ab41c0781fa8.com,ccleaner
1,ab1d55394dfac.com,ccleaner
1,ab159c8e64faf.com,ccleaner
1,abbf56978fb2.com,ccleaner
1,ab10257367fb5.com,ccleaner
1,ab13ce564fb9.com,ccleaner
1,abd3b6039f28.com,ccleaner
1,ab30e89edf2b.com,ccleaner
1,ab9395536f2e.com,ccleaner
1,ab29f82832f32.com,ccleaner
1,ab13ceceef35.com,ccleaner
1,ab37a497f38.com,ccleaner
1,ab18c16beaf3b.com,ccleaner
1,ab2a0268f3f.com,ccleaner
1,abe98c3b0f42.com,ccleaner
1,ab848f6b8f45.com,ccleaner
1,ab75f996f48.com,ccleaner
1,ab38460453eb8.com,ccleaner
1,ab74dea3febb.com,ccleaner
1,ab2f906e8ebe.com,ccleaner
1,ab23084b20ec1.com,ccleaner
1,ab233f610ec5.com,ccleaner
1,ab18286f20ec8.com,ccleaner
1,abe88c358ecb.com,ccleaner
1,ab94e0950ece.com,ccleaner
1,abb97afa8ed2.com,ccleaner
1,ab303a48e4ed5.com,ccleaner
1,ab4ac0d29ed8.com,ccleaner
1,ab1a51792e47.com,ccleaner
1,ab5e8e3b2e4b.com,ccleaner
1,ab2362a192e4e.com,ccleaner
1,ab727d34e51.com,ccleaner
1,ab13d190f2e54.com,ccleaner
1,ab12cb4b69e58.com,ccleaner
1,ab4605d5e5b.com,ccleaner
1,abb283201e5e.com,ccleaner
1,ab2f1d8d8e61.com,ccleaner
1,ab26e4ae4ce65.com,ccleaner
1,ab33db27ce68.com,ccleaner
1,ab51aee70dd7.com,ccleaner
1,ab1fffeee5dda.com,ccleaner
1,ab1ba992f9dde.com,ccleaner
1,aba03002de1.com,ccleaner
1,ab134f7d5ede4.com,ccleaner
1,ab7c93c7ade7.com,ccleaner
1,ab6fb5a12deb.com,ccleaner
1,ab75dec72dee.com,ccleaner
1,ab28bbd4b0df1.com,ccleaner
1,ab2f81058df5.com,ccleaner
1,ab1a3abdc0df8.com,ccleaner
1,ab2ecb65cd67.com,ccleaner
1,ab1d21b5f7d6a.com,ccleaner
