label,qname,family
1,n20d20craqcxl68a27hxbylrc19iqo61d40oyb38.ru,murofet_v3
1,ozovhxnxfqgsf52dqh24gxctj46ktosh64iz.ru,murofet_v3
1,ntg53jshtd30n10i45lylrhuhwbvmqg43drjq.ru,murofet_v3
1,ctkwdxhta37dwjxbxewk57dxawm29hyi25hr.ru,murofet_v3
1,jrbqevbvl68o41j16gsfrirpvo11nrpqk67jr.ru,murofet_v3
1,jxerkrd10hyitauhsp52i65askrbvbuk37iv.ru,murofet_v3
1,bye51cuk17irl68nxp42p22mvdteubyeuczmq.ru,murofet_v3
1,drl68ixo51gqkrbzkve51j56f12irhugqnxf42.ru,murofet_v3
1,ivpxg23h44fvkxmxmvbvgzasgzoslyctg13.ru,murofet_v3
1,i65jqn50a67iqewdqbrf62nwj36m59i25k47otp42.ru,murofet_v3
1,i15eylvkypwiulqb68bvirg23ixnwm29p12it.ru,murofet_v3
1,jqezbwfraqmwj36e11g33dqcsi35gym69l68bs.ru,murofet_v3
1,btlwi25nygvl18h14i45eva37gqm69mynrp22pr.ru,murofet_v3
1,mtm29j46jwm19bwcukwi25cqmxeve11dqd20l58.ru,murofet_v3
1,hsp22k57g23m69d20j46h44e61gzhwh54a17krb68b18.ru,murofet_v3
1,e11hwi55o31bsn20m69dqctnua17owjye51b68e51.ru,murofet_v3
1,psdteup22p32f12oqk37pxf42e51mvcubwg33br.ru,murofet_v3
1,lrb18btm39dsnvnzk37g63e41kxd50jxo11a37az.ru,murofet_v3
1,d50a67f32d60cvcqe61gqawfqfzkuhwisjxd50.ru,murofet_v3
1,lsawisivkubvo11a27msltftctk17p32bulw.ru,murofet_v3
1,nsozjudxmxj36m59aqj16lzj56p32jreuk47k17.ru,murofet_v3
1,f12gtj66d20m59f52oynzbyhqd30cwosere61o41.ru,murofet_v3
1,atezl18j56eui55evn50cycxf32euf62oykqis.ru,murofet_v3
1,eql28jycqe31isovf32pwhqfxn30hzd60hvbx.ru,murofet_v3
1,n10bvc19bwgrbzm69p62e11kzivp52m19irn40gx.ru,murofet_v3
1,ftgvcrm59eyjyirm69gtj46f52brgqjql68lw.ru,murofet_v3
1,ozezh54gqpvaypvfrlzftmxo51bxnzexas.ru,murofet_v3
1,dyntkrbva17ata17lwlqhqo41eygynrerf22.ru,murofet_v3
1,lqo51gunvl18eyd20lzorptj26buhrasnyjr.ru,murofet_v3
1,h34k17mxgvg33asoxd50fyothqo21k67kqfqly.ru,murofet_v3
1,cvi65lqgvlsgykyi65oynqn40kub58ltkxm69.ru,murofet_v3
1,hqbql68osmsixmyh14hvd60k57cvotnzkqiv.ru,murofet_v3
1,muerf32kxnrnznrf42m69pweuj26k17psaqmq.ru,murofet_v3
1,jwd40f22nte21hznwn40ovkya67d20c49kzl58o61.ru,murofet_v3
1,gum29exb38hup32fxkxn50crmqmya37c29f32dq.ru,murofet_v3
1,hzpufqoso41nyb68l68bvlyormtfzdwcrm19.ru,murofet_v3
1,c19iwoubxjqlsgvf62c49n40fue31fwesj36jx.ru,murofet_v3
1,m19c19aycyjsatd10lvn20gqkwg33m29erguny.ru,murofet_v3
1,iqlqe51f62awcub68byo11j46ezlugvizgwl28.ru,murofet_v3
1,fuirftksc39juhtirnwbteukqptp32cyc69.ru,murofet_v3
1,kyizpucva57irb18iqkwcvgwd20osd60numw.ru,murofet_v3
