label,qname,family
1,mtcwndi1otaa.com,sisron
1,mtywndi1otaa.com,sisron
1,mtuwndi1otaa.com,sisron
1,mtqwndi1otaa.com,sisron
1,mtmwndi1otaa.com,sisron
1,mtiwndi1otaa.com,sisron
1,mtewndi1otaa.com,sisron
1,mtawndi1otaa.com,sisron
1,mdkwndi1otaa.com,sisron
1,mdgwndi1otaa.com,sisron
1,mtcwndi1otaa.org,sisron
1,mtywndi1otaa.org,sisron
1,mtuwndi1otaa.org,sisron
1,mtqwndi1otaa.org,sisron
1,mtmwndi1otaa.org,sisron
1,mtiwndi1otaa.org,sisron
1,mtewndi1otaa.org,sisron
1,mtawndi1otaa.org,sisron
1,mdkwndi1otaa.org,sisron
1,mdgwndi1otaa.org,sisron
1,mtcwndi1otaa.net,sisron
1,mtywndi1otaa.net,sisron
1,mtuwndi1otaa.net,sisron
1,mtqwndi1otaa.net,sisron
1,mtmwndi1otaa.net,sisron
1,mtiwndi1otaa.net,sisron
1,mtewndi1otaa.net,sisron
1,mtawndi1otaa.net,sisron
1,mdkwndi1otaa.net,sisron
1,mdgwndi1otaa.net,sisron
1,mtcwndi1otaa.info,sisron
1,mtywndi1otaa.info,sisron
1,mtuwndi1otaa.info,sisron
1,mtqwndi1otaa.info,sisron
1,mtmwndi1otaa.info,sisron
1,mtiwndi1otaa.info,sisron
1,mtewndi1otaa.info,sisron
1,mtawndi1otaa.info,sisron
1,mdkwndi1otaa.info,sisron
1,mdgwndi1otaa.info,sisron
1,mtkwntiynjaa.com,sisron
1,mtgwntiynjaa.com,sisron
1,mtcwntiynjaa.com,sisron
1,mtywntiynjaa.com,sisron
1,mtuwntiynjaa.com,sisron
1,mtqwntiynjaa.com,sisron
1,mtmwntiynjaa.com,sisron
1,mtiwntiynjaa.com,sisron
1,mtewntiynjaa.com,sisron
1,mtawntiynjaa.com,sisron
1,mtkwntiynjaa.org,sisron
1,mtgwntiynjaa.org,sisron
1,mtcwntiynjaa.org,sisron
1,mtywntiynjaa.org,sisron
1,mtuwntiynjaa.org,sisron
1,mtqwntiynjaa.org,sisron
1,mtmwntiynjaa.org,sisron
1,mtiwntiynjaa.org,sisron
1,mtewntiynjaa.org,sisron
1,mtawntiynjaa.org,sisron
1,mtkwntiynjaa.net,sisron
1,mtgwntiynjaa.net,sisron
1,mtcwntiynjaa.net,sisron
1,mtywntiynjaa.net,sisron
1,mtuwntiynjaa.net,sisron
1,mtqwntiynjaa.net,sisron
1,mtmwntiynjaa.net,sisron
1,mtiwntiynjaa.net,sisron
1,mtewntiynjaa.net,sisron
1,mtawntiynjaa.net,sisron
1,mtkwntiynjaa.info,sisron
1,mtgwntiynjaa.info,sisron
1,mtcwntiynjaa.info,sisron
1,mtywntiynjaa.info,sisron
1,mtuwntiynjaa.info,sisron
1,mtqwntiynjaa.info,sisron
1,mtmwntiynjaa.info,sisron
1,mtiwntiynjaa.info,sisron
1,mtewntiynjaa.info,sisron
1,mtawntiynjaa.info,sisron
1,mdcwnti1ndma.com,sisron
1,mdywnti1ndma.com,sisron
1,mduwnti1ndma.com,sisron
1,mdqwnti1ndma.com,sisron
1,mdmwnti1ndma.com,sisron
1,mdiwnti1ndma.com,sisron
1,mdewnti1ndma.com,sisron
1,mzawndi1ndma.com,sisron
1,mjkwndi1ndma.com,sisron
1,mjgwndi1ndma.com,sisron
1,mdcwnti1ndma.org,sisron
1,mdywnti1ndma.org,sisron
1,mduwnti1ndma.org,sisron
1,mdqwnti1ndma.org,sisron
1,mdmwnti1ndma.org,sisron
