labeled,total_character,letters,numbers,special_characters,letters_number,dots,lowercase_letters,uppercase_letters,subdomains_count,subdomain1,subdomain1_letters,subdomain1_numbers,subdomain1_special,subdomain2,subdomain2_letters,subdomain2_numbers,subdomain2_special,subdomain3,subdomain3_letters,subdomain3_numbers,subdomain3_special,subdomain4,subdomain4_letters,subdomain4_numbers,subdomain4_special
1,54,42,11,0,53,1,29,13,2,39,30,9,0,14,12,2,0,0,0,0,0,0,0,0,0
0,17,15,0,0,15,2,15,0,2,13,13,0,0,2,2,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,26,3,2,29,3,26,0,3,20,15,3,2,4,4,0,0,7,7,0,0,0,0,0,0
0,27,26,0,0,26,1,26,0,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,34,7,1,41,1,22,12,2,35,29,5,1,7,5,2,0,0,0,0,0,0,0,0,0
1,59,41,17,0,58,1,30,11,2,38,29,9,0,20,12,8,0,0,0,0,0,0,0,0,0
0,19,17,0,0,17,2,17,0,2,4,4,0,0,13,13,0,0,0,0,0,0,0,0,0,0
0,14,10,2,0,12,2,10,0,2,8,6,2,0,4,4,0,0,0,0,0,0,0,0,0,0
0,45,26,11,5,37,3,26,0,3,30,17,10,3,9,6,1,2,3,3,0,0,0,0,0,0
0,21,19,0,0,19,2,19,0,2,8,8,0,0,11,11,0,0,0,0,0,0,0,0,0,0
0,5,4,0,0,4,1,4,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,10,0,0,10,2,10,0,2,3,3,0,0,7,7,0,0,0,0,0,0,0,0,0,0
1,43,28,12,2,40,1,20,8,2,36,24,10,2,6,4,2,0,0,0,0,0,0,0,0,0
0,12,4,6,0,10,2,4,0,2,8,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,10,2,0,12,2,10,0,2,8,6,2,0,4,4,0,0,0,0,0,0,0,0,0,0
1,57,44,12,0,56,1,31,13,2,42,32,10,0,14,12,2,0,0,0,0,0,0,0,0,0
0,39,30,3,4,33,2,30,0,2,21,14,3,4,16,16,0,0,0,0,0,0,0,0,0,0
0,17,15,0,0,15,2,15,0,2,6,6,0,0,9,9,0,0,0,0,0,0,0,0,0,0
0,18,10,4,1,14,3,10,0,3,3,1,2,0,11,8,2,1,1,1,0,0,0,0,0,0
1,112,85,23,1,108,3,48,37,4,29,23,6,0,29,19,9,1,27,22,5,0,24,21,3,0
0,3,2,0,0,2,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39,29,4,4,33,2,29,0,2,21,13,4,4,16,16,0,0,0,0,0,0,0,0,0,0
1,119,98,16,2,114,3,52,46,4,32,27,5,0,29,25,4,0,33,29,3,1,22,17,4,1
1,54,43,10,0,53,1,29,14,2,39,32,7,0,14,11,3,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,46,35,10,0,45,1,25,10,2,37,28,9,0,8,7,1,0,0,0,0,0,0,0,0,0
1,47,35,10,1,45,1,27,8,2,38,30,7,1,8,5,3,0,0,0,0,0,0,0,0,0
0,41,23,12,3,35,3,23,0,3,26,14,11,1,9,6,1,2,3,3,0,0,0,0,0,0
0,13,9,2,0,11,2,9,0,2,5,3,2,0,6,6,0,0,0,0,0,0,0,0,0,0
0,52,32,10,7,42,3,32,0,3,37,23,9,5,9,6,1,2,3,3,0,0,0,0,0,0
0,8,4,2,1,6,1,4,0,1,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,57,45,9,2,54,1,31,14,2,39,33,5,1,17,12,4,1,0,0,0,0,0,0,0,0
0,18,10,4,1,14,3,10,0,3,3,1,2,0,11,8,2,1,1,1,0,0,0,0,0,0
0,16,11,3,0,14,2,11,0,2,4,1,3,0,10,10,0,0,0,0,0,0,0,0,0,0
0,14,11,0,0,11,3,11,0,3,3,3,0,0,5,5,0,0,3,3,0,0,0,0,0,0
0,16,14,0,0,14,2,14,0,2,9,9,0,0,5,5,0,0,0,0,0,0,0,0,0,0
0,40,23,11,3,34,3,23,0,3,20,9,10,1,14,11,1,2,3,3,0,0,0,0,0,0
1,58,45,10,2,55,1,27,18,2,41,33,7,1,16,12,3,1,0,0,0,0,0,0,0,0
1,124,101,18,2,119,3,46,55,4,39,33,5,1,29,27,1,1,31,22,9,0,22,19,3,0
0,19,16,0,0,16,3,16,0,3,8,8,0,0,5,5,0,0,3,3,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,10,4,0,14,2,10,0,2,5,1,4,0,9,9,0,0,0,0,0,0,0,0,0,0
1,22,17,5,0,22,0,13,4,1,22,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,16,0,0,16,2,16,0,2,10,10,0,0,6,6,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,119,93,20,3,113,3,44,49,4,37,28,9,0,28,22,5,1,26,23,3,0,25,20,3,2
0,18,16,0,0,16,2,16,0,2,5,5,0,0,11,11,0,0,0,0,0,0,0,0,0,0
1,51,37,13,0,50,1,29,8,2,38,27,11,0,12,10,2,0,0,0,0,0,0,0,0,0
1,83,65,15,1,80,2,38,27,3,40,32,8,0,24,20,3,1,17,13,4,0,0,0,0,0
0,20,10,4,4,14,2,10,0,2,17,9,4,4,1,1,0,0,0,0,0,0,0,0,0,0
0,16,7,5,0,12,4,7,0,4,3,3,0,0,3,0,3,0,3,1,2,0,3,3,0,0
1,57,42,13,1,55,1,27,15,2,35,26,8,1,21,16,5,0,0,0,0,0,0,0,0,0
1,116,90,23,0,113,3,52,38,4,35,29,6,0,25,20,5,0,30,23,7,0,23,18,5,0
0,14,12,0,0,12,2,12,0,2,8,8,0,0,4,4,0,0,0,0,0,0,0,0,0,0
0,12,10,0,0,10,2,10,0,2,6,6,0,0,4,4,0,0,0,0,0,0,0,0,0,0
0,14,13,0,0,13,1,13,0,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,9,0,0,9,2,9,0,2,2,2,0,0,7,7,0,0,0,0,0,0,0,0,0,0
0,15,13,0,0,13,2,13,0,2,11,11,0,0,2,2,0,0,0,0,0,0,0,0,0,0
0,11,9,1,0,10,1,9,0,1,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,14,11,3,25,3,14,0,3,16,5,10,1,9,6,1,2,3,3,0,0,0,0,0,0
1,120,104,13,0,117,3,72,32,4,45,39,6,0,29,28,1,0,28,23,5,0,15,14,1,0
0,11,9,0,0,9,2,9,0,2,2,2,0,0,7,7,0,0,0,0,0,0,0,0,0,0
0,36,30,0,3,30,3,30,0,3,16,13,0,3,8,8,0,0,9,9,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,2,6,0,8,1,2,0,1,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,12,4,0,16,2,12,0,2,12,8,4,0,4,4,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,9,0,0,9,2,9,0,2,3,3,0,0,6,6,0,0,0,0,0,0,0,0,0,0
0,11,9,1,0,10,1,9,0,1,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,40,8,1,48,1,27,13,2,40,32,7,1,9,8,1,0,0,0,0,0,0,0,0,0
1,53,40,10,2,50,1,25,15,2,36,28,7,1,16,12,3,1,0,0,0,0,0,0,0,0
1,61,40,17,3,57,1,27,13,2,37,25,10,2,23,15,7,1,0,0,0,0,0,0,0,0
1,142,115,23,1,138,3,69,46,4,48,42,6,0,37,33,3,1,30,19,11,0,24,21,3,0
1,29,25,4,0,29,0,17,8,1,29,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,10,4,4,14,2,10,0,2,17,9,4,4,1,1,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,18,11,3,29,3,18,0,3,20,9,10,1,9,6,1,2,3,3,0,0,0,0,0,0
1,68,56,9,1,65,2,37,19,3,39,32,6,1,21,19,2,0,6,5,1,0,0,0,0,0
0,8,6,0,0,6,2,6,0,2,2,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0
0,14,9,0,0,9,5,9,0,5,2,2,0,0,2,2,0,0,1,1,0,0,2,2,0,0
0,18,16,0,0,16,2,16,0,2,12,12,0,0,4,4,0,0,0,0,0,0,0,0,0,0
1,107,86,17,2,103,2,59,27,3,50,42,7,1,31,25,5,1,24,19,5,0,0,0,0,0
0,13,11,0,1,11,1,11,0,1,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,22,18,3,1,21,0,11,7,1,22,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,47,36,9,1,45,1,24,12,2,39,30,8,1,7,6,1,0,0,0,0,0,0,0,0,0
1,48,33,14,0,47,1,23,10,2,41,30,11,0,6,3,3,0,0,0,0,0,0,0,0,0
0,17,10,3,1,13,3,10,0,3,2,1,1,0,11,8,2,1,1,1,0,0,0,0,0,0
0,37,20,9,5,29,3,20,0,3,22,11,8,3,9,6,1,2,3,3,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,57,39,16,1,55,1,27,12,2,41,31,10,0,15,8,6,1,0,0,0,0,0,0,0,0
1,44,35,8,0,43,1,25,10,2,39,32,7,0,4,3,1,0,0,0,0,0,0,0,0,0
0,10,9,0,0,9,1,9,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,53,40,11,1,51,1,23,17,2,36,26,9,1,16,14,2,0,0,0,0,0,0,0,0,0
1,50,37,12,0,49,1,22,15,2,34,25,9,0,15,12,3,0,0,0,0,0,0,0,0,0
0,12,11,0,0,11,1,11,0,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,8,0,0,8,1,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,16,7,2,23,5,16,0,5,4,1,2,1,7,1,5,1,2,2,0,0,5,5,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,11,1,0,12,2,11,0,2,5,4,1,0,7,7,0,0,0,0,0,0,0,0,0,0
0,38,20,10,5,30,3,20,0,3,23,11,9,3,9,6,1,2,3,3,0,0,0,0,0,0
0,7,6,0,0,6,1,6,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40,30,9,0,39,1,17,13,2,32,25,7,0,7,5,2,0,0,0,0,0,0,0,0,0
0,10,9,0,0,9,1,9,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,19,1,5,20,2,19,0,2,22,16,1,5,3,3,0,0,0,0,0,0,0,0,0,0
0,7,5,0,1,5,1,5,0,1,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,37,20,11,3,31,3,20,0,3,17,6,10,1,14,11,1,2,3,3,0,0,0,0,0,0
0,35,19,10,3,29,3,19,0,3,20,10,9,1,9,6,1,2,3,3,0,0,0,0,0,0
1,132,107,20,2,127,3,63,44,4,46,40,6,0,29,23,6,0,23,19,3,1,31,25,5,1
0,11,9,0,0,9,2,9,0,2,1,1,0,0,8,8,0,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,29,13,0,42,1,21,8,2,35,25,10,0,7,4,3,0,0,0,0,0,0,0,0,0
1,50,37,10,2,47,1,23,14,2,39,30,8,1,10,7,2,1,0,0,0,0,0,0,0,0
0,10,9,0,0,9,1,9,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,25,0,0,25,2,25,0,2,16,16,0,0,9,9,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48,29,10,6,39,3,29,0,3,33,20,9,4,9,6,1,2,3,3,0,0,0,0,0,0
1,115,84,26,2,110,3,39,45,4,30,25,4,1,21,17,4,0,32,20,11,1,29,22,7,0
0,13,12,0,0,12,1,12,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,8,0,0,8,2,8,0,2,5,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0
0,3,0,2,0,2,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39,30,2,5,32,2,30,0,2,25,23,0,2,12,7,2,3,0,0,0,0,0,0,0,0
0,8,7,0,0,7,1,7,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,15,1,0,16,3,15,0,3,4,3,1,0,7,7,0,0,5,5,0,0,0,0,0,0
0,37,20,10,4,30,3,20,0,3,22,11,9,2,9,6,1,2,3,3,0,0,0,0,0,0
0,9,8,0,0,8,1,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
