Epoch: 0, Train Loss: 82.0721, Val Loss: 57.3025, In domain: koi-nya.net, Out domain: aaaaa..om, In domain validation: extremeglow.com, Out domain validation: aaaaeaaae.com
Epoch: 1, Train Loss: 57.7598, Val Loss: 48.9702, In domain: click-4games.com, Out domain: lllll--eeee.com, In domain validation: grass3d.com, Out domain validation: aa.com
Epoch: 2, Train Loss: 49.8310, Val Loss: 43.3527, In domain: associatepi.com, Out domain: aaaaaaaiiii.com, In domain validation: a-fys.dk, Out domain validation: --b.cc
Epoch: 3, Train Loss: 45.5035, Val Loss: 40.1548, In domain: gangnamclinicth.com, Out domain: aaaaaniiiitith.com, In domain validation: ichemeblog.org, Out domain validation: iieeeeeeee.ogg
Epoch: 4, Train Loss: 42.4246, Val Loss: 37.6047, In domain: tamilspec.blogspot.com, Out domain: aiissrer.llggppot.com, In domain validation: teamfortress.com, Out domain validation: eeeooooeees.com
Epoch: 5, Train Loss: 40.1098, Val Loss: 35.3009, In domain: vpnjantit.com, Out domain: tppppitit.com, In domain validation: den904.clan.su, Out domain validation: ennnna.lar.ru
Epoch: 6, Train Loss: 38.1396, Val Loss: 33.4276, In domain: themarinelab.com, Out domain: tmemararelel.com, In domain validation: xvideodo.vip, Out domain validation: itiddoooi.io
Epoch: 7, Train Loss: 36.5948, Val Loss: 32.2963, In domain: saint-priest-en-jarez.fr, Out domain: nnnt-t-ieien-n-raraf.fr, In domain validation: stitchestostones.com, Out domain validation: ititahahooooenes.com
Epoch: 8, Train Loss: 35.5574, Val Loss: 31.3126, In domain: milanogroup.net, Out domain: ilagaguouo.net, In domain validation: swedenchurchofchrist.com, Out domain validation: cucucnchuhuhadchriri.com
Epoch: 9, Train Loss: 34.7529, Val Loss: 30.6976, In domain: rcpjournal.org, Out domain: crapupurnan.org, In domain validation: scragged.com, Out domain validation: acacece.com
Epoch: 10, Train Loss: 34.4117, Val Loss: 30.2801, In domain: pi4j.com, Out domain: pkpi.com, In domain validation: dutch-headshop.be, Out domain validation: dahchea-ahshsb.be
Epoch: 11, Train Loss: 33.9539, Val Loss: 29.9173, In domain: tvoidantist.ru, Out domain: voaoantitr.ru, In domain validation: jawalplus.com, Out domain validation: jalalulkl.com
Epoch: 12, Train Loss: 33.7005, Val Loss: 29.6234, In domain: campussports.net, Out domain: opmpupusosos.net, In domain validation: covered6.com, Out domain validation: vevordrd.com
Epoch: 13, Train Loss: 33.3741, Val Loss: 29.3166, In domain: kiwz.ru, Out domain: wkwz.ru, In domain validation: bolod.mn, Out domain validation: bbod.dd
Epoch: 14, Train Loss: 33.2035, Val Loss: 29.0983, In domain: movieden.net, Out domain: vivinnnd.net, In domain validation: samsonite.at, Out domain validation: amaitita.et
Epoch: 15, Train Loss: 32.8477, Val Loss: 28.8540, In domain: lavalledelmetauro.it, Out domain: avallllleglrtrao.it, In domain validation: planeteanimal.com, Out domain validation: pleleanaealam.com
